SHOT_ID_NUMBER,MATCH_ID,KNOCKOUT_MATCH,GAME_SEASON,OPPONENT,HOME_AWAY,DISTANCE_OF_SHOT,POWER_OF_SHOT,AREA_OF_SHOT,SHOT_BASICS,LOCATION_X,LOCATION_Y,REMAINING_MIN,IS_GOAL
1,20200029,0,2002-03,MANU @ LAC,AWAY,37,1,Left Side Center(LC),Mid Range,-105,145,11.633333333,1
2,20200029,0,2002-03,MANU @ LAC,AWAY,20,3,Center(C),Goal Area,0,0,7.583333333,0
3,20200029,0,2002-03,MANU @ LAC,AWAY,20,1,Center(C),Goal Area,0,0,7.533333333,1
4,20200029,0,2002-03,MANU @ LAC,AWAY,38,1,Right Side(R),Mid Range,182,18,4.283333333,1
5,20200029,0,2002-03,MANU @ LAC,AWAY,46,2,Left Side Center(LC),Penalty Spot,-99,250,79.573333333,0
6,20200029,0,2002-03,MANU @ LAC,AWAY,41,2,Center(C),Mid Range,52,209,0.75,1
7,20200029,0,2002-03,MANU @ LAC,AWAY,26,3,Center(C),Goal Line,-5,69,10.35,1
8,20200029,0,2002-03,MANU @ LAC,AWAY,20,3,Center(C),Goal Area,0,0,6.044006456,1
9,20200029,0,2002-03,MANU @ LAC,AWAY,27,3,Center(C),Goal Line,-2,74,3.75,0
10,20200029,0,2002-03,MANU @ LAC,AWAY,20,3,Center(C),Goal Area,0,0,2.416666667,1
11,20200029,0,2002-03,MANU @ LAC,AWAY,36,4,Center(C),Mid Range,8,163,10.316666667,0
12,20200029,0,2002-03,MANU @ LAC,AWAY,33,4,Center(C),Goal Line,-5,132,2.516666667,0
13,40100403,1,2001-02,MANU @ NJN,AWAY,20,1,Center(C),Goal Area,0,0,4.683333333,0
14,40100403,1,2001-02,MANU @ NJN,AWAY,35,1,Right Side(R),Mid Range,125,99,3.95,0
15,40100403,1,2001-02,MANU @ NJN,AWAY,39,1,Right Side(R),Mid Range,191,-4,1.316666667,0
16,40100403,1,2001-02,MANU @ NJN,AWAY,28,1,Right Side(R),Goal Line,58,57,0.3333333333,1
17,40100403,1,2001-02,MANU @ NJN,AWAY,41,2,Right Side(R),Mid Range,218,9,11.383333333,1
18,40100403,1,2001-02,MANU @ NJN,AWAY,30,2,Center(C),Goal Line,24,99,5.266666667,0
19,40100403,1,2001-02,MANU @ NJN,AWAY,32,3,Right Side(R),Mid Range,125,15,10.966666667,1
20,40100403,1,2001-02,MANU @ NJN,AWAY,44,3,Right Side Center(RC),Penalty Spot,108,224,8.333333333,1
21,40100403,1,2001-02,MANU @ NJN,AWAY,27,3,Center(C),Goal Line,-56,57,4.683333333,1
22,40100403,1,2001-02,MANU @ NJN,AWAY,39,3,Right Side(R),Mid Range,191,21,2.933333333,1
23,40100403,1,2001-02,MANU @ NJN,AWAY,87,3,Mid Ground(MG),Mid Ground Line,-132,658,0,0
24,40100403,1,2001-02,MANU @ NJN,AWAY,32,4,Center(C),Goal Line,32,120,9.683333333,1
25,40100403,1,2001-02,MANU @ NJN,AWAY,20,4,Center(C),Goal Area,0,0,25.506666667,1
26,40100403,1,2001-02,MANU @ NJN,AWAY,38,4,Right Side Center(RC),Mid Range,0,154,5.716666667,0
27,40100403,1,2001-02,MANU @ NJN,AWAY,29,4,Center(C),Goal Line,32,0,5.333333333,1
28,40100403,1,2001-02,MANU @ NJN,AWAY,44,4,Center(C),Penalty Spot,-56,236,4.7,0
29,40100403,1,2001-02,MANU @ NJN,AWAY,35,4,Left Side(L),Mid Range,-157,0,3.433333333,0
30,40100403,1,2001-02,MANU @ NJN,AWAY,42,4,Right Side Center(RC),Mid Range,117,188,2.283333333,1
31,40100403,1,2001-02,MANU @ NJN,AWAY,38,4,Center(C),Mid Range,-48,175,1.516666667,0
32,40100403,1,2001-02,MANU @ NJN,AWAY,29,4,Center(C),Goal Line,-42,85,0.3166666667,1
33,20400065,0,2004-05,MANU @ MEM,AWAY,38,3,Left Side Center(LC),Mid Range,-59,171,10.466666667,0
34,20400065,0,2004-05,MANU @ MEM,AWAY,20,1,Center(C),Goal Area,0,0,5.266666667,0
35,20400065,0,2004-05,MANU @ MEM,AWAY,28,1,Right Side(R),Mid Range,85,3,5,0
36,20400065,0,2004-05,MANU @ MEM,AWAY,46,1,Right Side Center(RC),Penalty Spot,103,242,0,0
37,20400065,0,2004-05,MANU @ MEM,AWAY,20,2,Center(C),Goal Area,0,0,11.333333333,0
38,20400065,0,2004-05,MANU @ MEM,AWAY,20,2,Center(C),Goal Area,0,0,3.866666667,0
39,20400065,0,2004-05,MANU @ MEM,AWAY,38,2,Right Side Center(RC),Mid Range,118,137,3.133333333,1
40,20400065,0,2004-05,MANU @ MEM,AWAY,31,2,Center(C),Mid Range,-48,109,2.083333333,0
41,20400065,0,2004-05,MANU @ MEM,AWAY,45,1,Right Side Center(RC),Mid Range,138,219,10.9,1
42,20400065,0,2004-05,MANU @ MEM,AWAY,45,2,Right Side Center(RC),Penalty Spot,89,243,0.6833333333,0
43,20400065,0,2004-05,MANU @ MEM,AWAY,67.4,3,Center(C),Goal Area,0,0,8.15,0
44,20400065,0,2004-05,MANU @ MEM,AWAY,20,3,Center(C),Goal Area,0,0,8.1,1
45,20400065,0,2004-05,MANU @ MEM,AWAY,46,3,Left Side Center(LC),Penalty Spot,-159,207,6.433333333,0
46,20400065,0,2004-05,MANU @ MEM,AWAY,40,3,Left Side(L),Mid Range,-205,0,6,0
47,20400065,0,2004-05,MANU @ MEM,AWAY,25,3,Center(C),Goal Line,3,51,3.983333333,0
48,20400065,0,2004-05,MANU @ MEM,AWAY,26,3,Center(C),Goal Line,-13,59,1.733333333,0
49,20400065,0,2004-05,MANU @ MEM,AWAY,45,3,Left Side Center(LC),Mid Range,-174,189,0.7333333333,0
50,21100769,0,2011-12,MANU vs. NOH,HOME,32,3,Right Side(R),Mid Range,91,0,1.516666667,0
51,21100769,0,2011-12,MANU vs. NOH,HOME,25,3,Center(C),Goal Line,28,53,1.633333333,0
52,21100769,0,2011-12,MANU vs. NOH,HOME,45,1,Left Side Center(LC),Penalty Spot,-153,206,0.6833333333,0
53,21100769,0,2011-12,MANU vs. NOH,HOME,38,1,Left Side Center(LC),Mid Range,-111,148,0.06666666667,0
54,21100769,0,2011-12,MANU vs. NOH,HOME,45,2,Center(C),Penalty Spot,70,241,4.483333333,0
55,21100769,0,2011-12,MANU vs. NOH,HOME,26,3,Center(C),Goal Line,-15,63,9.733333333,0
56,21100769,0,2011-12,MANU vs. NOH,HOME,45,3,Left Side Center(LC),Penalty Spot,-149,209,9.92,0
57,21100769,0,2011-12,MANU vs. NOH,HOME,35,3,Right Side(R),Mid Range,129,78,6.283333333,0
58,21100769,0,2011-12,MANU vs. NOH,HOME,37,1,Center(C),Mid Range,-23,170,4.5,0
59,21100769,0,2011-12,MANU vs. NOH,HOME,38,3,Left Side(L),Mid Range,-180,0,4.4,0
60,21100769,0,2011-12,MANU vs. NOH,HOME,45,3,Center(C),Penalty Spot,127,216,0.2333333333,0
61,21100769,0,2011-12,MANU vs. NOH,HOME,45,3,Right Side Center(RC),Mid Range,162,192,0.01666666667,0
62,21100769,0,2011-12,MANU vs. NOH,HOME,36,4,Center(C),Mid Range,-103,135,7.5,1
