SHOT_ID_NUMBER,MATCH_ID,DISTANCE_OF_SHOT,POWER_OF_SHOT,AREA_OF_SHOT,SHOT_BASICS,LOCATION_X,LOCATION_Y,REMAINING_MIN,IS_GOAL,TIMESTAMP
5,20000012,34,3,5,5,-145,-11,9.533333333,0,2022-10-09
1,20000012,35,1,5,5,-157,0,10.366666667,0,2022-10-09
8,20000012,32,3,1,1,-33,0,3.6,0,2022-10-09
7,20000012,32,3,5,1,-65,0,6.2,1,2022-10-09
2,20000012,36,1,4,5,-101,135,7.75,1,2022-10-09
3,20000012,42,1,2,5,138,175,6.866666667,0,2022-10-09
4,20000012,20,2,1,4,0,0,42.956666667,1,2022-10-09
6,20000012,20,3,1,4,0,0,8.866666667,1,2022-10-09
26,20000019,33,4,3,5,127,34,0.5,0,2022-10-09
25,20000019,32,4,3,5,121,4,1.333333333,1,2022-10-09
9,20000019,37,1,2,5,121,127,11,1,2022-10-09
10,20000019,32,1,5,1,-67,0,7.15,1,2022-10-09
11,20000019,29,1,5,5,-94,4,2.733333333,0,2022-10-09
24,20000019,28,4,1,1,3,87,6.366666667,0,2022-10-09
13,20000019,40,1,1,5,0,192,1.17976,0,2022-10-09
14,20000019,45,2,4,5,-117,226,8.833333333,1,2022-10-09
15,20000019,36,3,4,5,0,97,11.483333333,0,2022-10-09
12,20000019,25,1,1,1,-23,47,1.266666667,0,2022-10-09
23,20000019,39,4,2,5,85,173,8.316666667,0,2022-10-09
21,20000019,40,3,1,5,0,196,2.066666667,0,2022-10-09
17,20000019,31,3,1,1,-16,110,7.95,1,2022-10-09
22,20000019,46,3,4,2,-183,186,0.5,0,2022-10-09
20,20000019,20,3,1,4,0,0,2.6,0,2022-10-09
16,20000019,34,3,1,5,3,144,10.133333333,0,2022-10-09
19,20000019,27,3,1,1,-46,63,5.183333333,1,2022-10-09
18,20000019,38,3,4,5,-109,150,5.783333333,1,2022-10-09
33,20000047,20,3,1,4,-4,4,3.35,1,2022-10-09
27,20000047,40,2,2,5,91,184,3.5,1,2022-10-09
28,20000047,47,2,1,2,-27,272,0.06666666667,1,2022-10-09
29,20000047,38,3,5,5,-176,66,11.2,0,2022-10-09
30,20000047,20,3,1,4,7,4,10.216666667,1,2022-10-09
31,20000047,40,3,2,5,150,133,8.983333333,1,2022-10-09
32,20000047,25,3,1,1,49,15,8.483333333,0,2022-10-09
34,20000047,20,3,1,4,-4,0,2.916666667,0,2022-10-09
37,20000047,20,4,1,4,1,9,1.133333333,0,2022-10-09
35,20000047,20,3,1,4,1,9,2.633333333,1,2022-10-09
38,20000047,21,4,1,4,-12,9,1.1,0,2022-10-09
36,20000047,37,4,2,5,121,120,4.916666667,1,2022-10-09
47,20000049,25,3,1,1,0,21,0.6166666667,0,2022-10-09
39,20000049,27,1,1,1,24,70,10.55,0,2022-10-09
40,20000049,38,1,5,5,-189,-4,10.066666667,0,2022-10-09
41,20000049,44,1,4,2,-155,194,2.55,0,2022-10-09
42,20000049,42,2,1,5,1,228,11.433333333,1,2022-10-09
43,20000049,20,2,1,4,0,0,8.666666667,1,2022-10-09
44,20000049,20,2,1,4,0,0,4.083333333,1,2022-10-09
45,20000049,31,2,1,1,-33,108,2.033333333,0,2022-10-09
48,20000049,32,3,3,5,121,26,0.01666666667,1,2022-10-09
46,20000049,20,3,1,4,0,0,9.533333333,0,2022-10-09
58,20000058,35,4,1,5,1,156,0.7666666667,0,2022-10-09
